"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades"
"RELIANCE","EQ","26-Dec-2017","        920.40","        924.85","        938.90","        918.15","        936.00","        929.80","        925.15","    5301456","          4904644711.45","      88411"
"RELIANCE","EQ","27-Dec-2017","        929.80","        933.00","        937.50","        919.00","        923.25","        923.75","        930.28","    4352384","          4048927002.10","     107845"
"RELIANCE","EQ","28-Dec-2017","        923.75","        925.25","        934.40","        919.10","        922.60","        924.20","        924.83","    7091515","          6558467598.75","      92078"
"RELIANCE","EQ","29-Dec-2017","        924.20","        926.50","        932.30","        918.50","        920.10","        921.05","        924.13","    5069838","          4685185006.70","     102691"
"RELIANCE","EQ","01-Jan-2018","        921.05","        922.70","        922.70","        907.50","        909.50","        909.75","        913.43","    4321686","          3947568943.55","      61538"
"RELIANCE","EQ","02-Jan-2018","        909.75","        913.00","        919.55","        906.40","        911.50","        911.15","        912.92","    4342815","          3964649169.65","      63346"
"RELIANCE","EQ","03-Jan-2018","        911.15","        925.00","        926.00","        913.05","        915.50","        914.80","        920.10","    6175312","          5681898482.50","     101162"
"RELIANCE","EQ","04-Jan-2018","        914.80","        918.15","        921.80","        915.70","        920.50","        920.30","        919.08","    4118581","          3785310187.15","      92195"
"RELIANCE","EQ","05-Jan-2018","        920.30","        921.80","        926.90","        920.25","        923.00","        923.25","        923.12","    3401905","          3140379429.35","      59095"
"RELIANCE","EQ","08-Jan-2018","        923.25","        926.10","        931.00","        923.50","        926.60","        928.55","        927.42","    4035417","          3742538282.25","      71254"
"RELIANCE","EQ","09-Jan-2018","        928.55","        928.15","        943.90","        924.00","        940.00","        940.95","        938.57","    6534997","          6133531767.75","     130260"
"RELIANCE","EQ","10-Jan-2018","        940.95","        943.00","        947.40","        935.50","        941.50","        942.35","        942.13","    5361502","          5051241312.15","      88179"
"RELIANCE","EQ","11-Jan-2018","        942.35","        941.80","        942.65","        935.00","        936.90","        937.75","        939.68","    3588727","          3372263778.65","      61745"
"RELIANCE","EQ","12-Jan-2018","        937.75","        943.00","        952.80","        938.25","        946.60","        949.00","        946.82","    6890028","          6523589663.40","     120871"
"RELIANCE","EQ","15-Jan-2018","        949.00","        950.00","        958.50","        945.20","        947.60","        949.15","        952.57","    5084113","          4842989337.35","      67051"
